Model,OriginHour,n,ActualSum,ForecastSum,MAE,RMSE,WAPE,Bias
seasonal_daily,1847,432.0,14359.0,13871.0,32.476851851851855,73.24369521596304,0.9770875409151055,-1.1296296296296295
seasonal_weekly,1847,432.0,14359.0,15971.0,33.254629629629626,68.61183085542415,1.0004874991294659,3.7314814814814814
direct_mean,1871,432.0,13604.0,14692.692307692307,25.266557355967077,47.08994798405301,0.8023487781371492,2.5201210826210816
rolling_24,1871,432.0,13604.0,14359.0,25.208912037037038,47.124603962379474,0.8005182299323729,1.747685185185186
rolling_168,1871,432.0,13604.0,14989.428571428572,25.39787257495591,47.267817456969354,0.8065187409865447,3.207010582010583
rolling_336,1871,432.0,13604.0,15145.428571428572,25.50533234126984,47.35220550651527,0.8099311652035115,3.568121693121694
seasonal_daily,1871,432.0,13604.0,14359.0,32.24768518518518,66.77475612501745,1.0240370479270802,1.7476851851851851
seasonal_weekly,1871,432.0,13604.0,15156.0,33.175925925925924,73.65255646665683,1.0535136724492795,3.5925925925925926
direct_mean,1895,432.0,13177.0,14678.911392405062,23.927361697140174,45.156597308799945,0.7844441263690184,3.4766467416783864
rolling_24,1895,432.0,13177.0,13604.000000000002,23.55497685185185,44.21842922385067,0.7722357137436442,0.9884259259259269
rolling_168,1895,432.0,13177.0,14767.714285714284,24.29086750440917,45.59073525156765,0.7963614450864963,3.6822089947089944
rolling_336,1895,432.0,13177.0,15033.357142857143,24.169904651675484,45.534294116033806,0.7923957508935121,4.297123015873014
seasonal_daily,1895,432.0,13177.0,13604.0,32.66898148148148,65.9175094762807,1.0710328602868635,0.9884259259259259
seasonal_weekly,1895,432.0,13177.0,14738.0,30.19212962962963,61.953406177844954,0.9898307657281628,3.613425925925926
direct_mean,1919,432.0,15574.0,14660.1375,26.8365909529321,51.29041090377585,0.7444078137708146,-2.115422453703704
rolling_24,1919,432.0,15574.0,13177.0,27.249035493827158,53.698416785579234,0.7558484225846496,-5.54861111111111
rolling_168,1919,432.0,15574.0,14544.714285714286,27.06046075837742,51.76529106412681,0.7506176350082859,-2.38260582010582
rolling_336,1919,432.0,15574.0,14955.142857142857,26.949625220458554,51.348165869911,0.7475432191625848,-1.4325396825396826
seasonal_daily,1919,432.0,15574.0,13177.0,32.62268518518518,67.12817686806062,0.904905611917298,-5.548611111111111
seasonal_weekly,1919,432.0,15574.0,15299.0,34.770833333333336,69.79982953921666,0.9644921022216515,-0.6365740740740741
direct_mean,1943,432.0,15250.0,14671.41975308642,27.760507163542144,55.57217550031444,0.7863960062065709,-1.3393061271147688
rolling_24,1943,432.0,15250.0,15574.0,28.260802469135804,55.27434558021459,0.800568306010929,0.7499999999999986
rolling_168,1943,432.0,15250.0,14584.000000000002,27.886684303350968,55.81387915382727,0.7899703356752537,-1.5416666666666667
rolling_336,1943,432.0,15250.0,14916.642857142859,27.89423500881834,55.49091210136737,0.7901842310694769,-0.7716600529100525
seasonal_daily,1943,432.0,15250.0,15574.0,36.75,77.3488969013253,1.0410491803278688,0.75
seasonal_weekly,1943,432.0,15250.0,14626.0,35.175925925925924,73.86010299759143,0.9964590163934426,-1.4444444444444444
direct_mean,1967,432.0,15234.0,14678.4756097561,24.407633242999097,46.302245684250565,0.6921424157132473,-1.2859360885275521
rolling_24,1967,432.0,15234.0,15250.0,24.583719135802472,45.9062131005659,0.6971357927443002,0.03703703703703651
rolling_168,1967,432.0,15234.0,14673.142857142857,24.421186067019402,46.43120413781097,0.6925267415617947,-1.2982804232804237
rolling_336,1967,432.0,15234.0,14900.142857142857,24.50841876102293,46.301644703579925,0.6950004532468101,-0.772817460317461
seasonal_daily,1967,432.0,15234.0,15250.0,35.208333333333336,69.34147922232941,0.9984245766049625,0.037037037037037035
seasonal_weekly,1967,432.0,15234.0,16877.0,32.84027777777778,71.96702241176034,0.9312721543914927,3.803240740740741
direct_mean,1991,432.0,16128.0,14685.168674698794,25.465784434032425,47.32083563932318,0.6821192259115828,-3.339887327086123
rolling_24,1991,432.0,16128.0,15234.0,26.48804012345679,51.72923705265121,0.7095010747354498,-2.069444444444443
rolling_168,1991,432.0,16128.0,14438.428571428572,25.2724041005291,47.319776538498566,0.6769393955498867,-3.9110449735449744
rolling_336,1991,432.0,16128.0,14887.214285714286,25.368468915343918,46.960131306577864,0.6795125602324263,-2.872189153439152
seasonal_daily,1991,432.0,16128.0,15234.0,32.5,64.47892994930521,0.8705357142857143,-2.0694444444444446
seasonal_weekly,1991,432.0,16128.0,13871.0,35.613425925925924,71.54112065409966,0.9539310515873016,-5.224537037037037
direct_mean,2015,432.0,15589.0,14702.345238095239,24.52717840608466,47.20189788090475,0.6796934422624012,-2.0524415784832457
rolling_24,2015,432.0,15589.0,16128.0,26.482253086419753,49.962236896887845,0.7338721748241281,1.247685185185186
rolling_168,2015,432.0,15589.0,14760.857142857141,24.72164351851852,47.28731503914915,0.6850824299185323,-1.9169973544973533
rolling_336,2015,432.0,15589.0,14990.285714285714,24.69098600088184,47.157804326673485,0.6842328534467224,-1.3859126984126977
seasonal_daily,2015,432.0,15589.0,16128.0,37.94675925925926,74.09161308562278,1.0515748284046442,1.2476851851851851
seasonal_weekly,2015,432.0,15589.0,14359.0,32.361111111111114,65.76835752739954,0.8967861953941882,-2.8472222222222223
direct_mean,2039,432.0,14141.0,14712.776470588236,27.30723720043573,50.33407524858404,0.834221516907449,1.3235566448801737
rolling_24,2039,432.0,14141.0,15589.0,27.98051697530864,50.614803309340346,0.8547898545600263,3.3518518518518503
rolling_168,2039,432.0,14141.0,14936.57142857143,27.497905643738978,50.36993298865838,0.8400463360508619,1.8416005291005288
rolling_336,2039,432.0,14141.0,14963.0,27.430197310405646,50.440150574690804,0.8379778826175828,1.9027777777777777
seasonal_daily,2039,432.0,14141.0,15589.0,33.379629629629626,68.29592471980546,1.0197298635174317,3.3518518518518516
